Issue Type,Issue key,Status,Labels,Status Last Changed,Desired Ship Date,Priority
MakeBrackets,MFG-156308,Warming Oven,reorder,27/Jan/22 11:55 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156304,Ready for Print File Setup,mixed_dentition,27/Jan/22 7:07 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156303,Bracket Cleaning,mixed_dentition,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156299,Ready for Print File Setup,reorder,26/Jan/22 2:13 PM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156298,Debinding Program Started,reorder,27/Jan/22 10:49 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156273,Ready for Print File Setup,reorder,27/Jan/22 7:07 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156272,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156254,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156253,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156249,Ready for Print File Setup,reorder,27/Jan/22 7:08 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156248,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156222,Ready for Print File Setup,reorder,27/Jan/22 7:07 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156221,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156210,Ready for Print File Setup,reorder,27/Jan/22 7:07 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156209,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156198,Ready for Print File Setup,reorder,26/Jan/22 12:35 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156193,Ready for Print File Setup,reorder,26/Jan/22 12:33 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156188,Ready for Print File Setup,reorder,27/Jan/22 7:08 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156187,Bracket Cleaning,reorder,27/Jan/22 12:59 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156176,Ready for Print File Setup,reorder,26/Jan/22 12:30 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156164,Ready for Print File Setup,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156163,Brackets in Printer Queue,reorder,27/Jan/22 7:47 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156159,Ready for Print File Setup,reorder,27/Jan/22 9:13 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156158,Brackets in Printer Queue,reorder,27/Jan/22 9:14 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156147,Ready for Print File Setup,reorder,26/Jan/22 12:06 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156142,Ready for Print File Setup,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156141,Brackets in Printer Queue,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156137,Ready for Print File Setup,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156136,Brackets in Printer Queue,reorder,27/Jan/22 7:47 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156132,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156131,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156127,Ready for Print File Setup,mixed_dentition,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156126,Brackets in Printer Queue,mixed_dentition,27/Jan/22 7:47 AM,04/Feb/22 12:00 AM,Medium
MakeTubes,MFG-156124,Bracket Cleaning,reorder,27/Jan/22 12:22 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156122,Ready for Print File Setup,reorder,27/Jan/22 4:29 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156121,Brackets in Printer Queue,reorder,27/Jan/22 7:47 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156109,Ready for Print File Setup,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156108,Brackets in Printer Queue,reorder,27/Jan/22 7:47 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156104,Ready for Print File Setup,reorder,27/Jan/22 7:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156103,Brackets in Printer Queue,reorder,27/Jan/22 7:48 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156099,Ready for Print File Setup,reorder,27/Jan/22 9:13 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156098,Brackets in Printer Queue,reorder,27/Jan/22 9:14 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156066,Ready for Print File Setup,reorder,26/Jan/22 11:18 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156054,Ready for Print File Setup,reorder,26/Jan/22 11:11 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156053,Brackets in Printer Queue,reorder,26/Jan/22 11:21 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156035,Ready for Print File Setup,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156034,Debinding Program Started,reorder,27/Jan/22 10:50 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156023,Ready for Print File Setup,reorder,26/Jan/22 10:48 AM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-156010,Ready for Print File Setup,reorder,26/Jan/22 10:45 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-156009,Warming Oven,reorder,26/Jan/22 6:55 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155984,Ready for Print File Setup,reorder,26/Jan/22 10:31 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155983,Warming Oven,reorder,26/Jan/22 6:56 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155979,Ready for Print File Setup,reorder,26/Jan/22 10:32 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155978,Warming Oven,reorder,26/Jan/22 6:56 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155960,Ready for Print File Setup,reorder,26/Jan/22 10:23 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155959,Warming Oven,reorder,26/Jan/22 6:56 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155955,Ready for Print File Setup,reorder,26/Jan/22 10:18 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155954,Warming Oven,reorder,26/Jan/22 6:56 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155943,Ready for Print File Setup,reorder,26/Jan/22 10:16 AM,04/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-155942,Warming Oven,reorder,26/Jan/22 6:56 PM,04/Feb/22 12:00 AM,Medium
MakeIDB,MFG-155917,Ready to Print,reorder,27/Jan/22 9:07 AM,04/Feb/22 12:00 AM,Highest
MakeBrackets,MFG-155916,Debinding Program Started,reorder,27/Jan/22 10:49 AM,04/Feb/22 12:00 AM,Highest
